Label,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I13,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C23,C24,C25,C26
0,0,1,80.0,0.0,1848.0,287.0,1.0,4.0,46.0,0,1,4.0,0,12,112,90,1,3,938,2,1,194,30,1015,496,2,185,103,7,188,124,2,1045,0,592,27,386
0,47,0,14.0,6.0,7132.0,171.0,2.0,2.0,6.0,5,1,6.0,0,51,1191,602,1,5,307,17,1,284,453,331,392,13,674,950,0,194,123,1,426,1,66,19,356
0,47,9,9.0,17.0,11774.0,146.92563081009297,0.0,23.0,128.0,5,0,17.0,0,10,1065,403,1,3,280,2,1,376,257,123,442,2,218,854,1,222,123,1,909,10,712,19,356
0,0,1,2.0,8.062697910069664,6190.0,84.0,1.0,27.0,71.0,0,1,11.784673844205193,26,58,1070,819,1,3,743,2,1,516,819,1078,407,2,378,621,7,489,123,1,1,1,162,19,356
0,47,4,16.0,8.062697910069664,5925.0,2.0,2.0,0.0,0.0,5,1,11.784673844205193,26,12,526,743,1,4,851,2,1,102,180,875,314,8,469,111,0,188,133,2,924,0,174,27,149
1,0,1,20.0,16.0,1548.0,93.0,42.0,32.0,912.0,0,15,16.0,43,149,875,14,1,3,306,5,1,390,707,182,412,2,549,904,3,72,22,2,639,0,454,18,460
1,0,20,2.0,2.0,7188.0,170.0,2.0,3.0,24.0,0,2,2.0,33,51,1217,204,11,3,883,2,1,652,474,378,665,2,534,1076,4,7,123,1,852,1,530,19,356
1,0,78,2.0,15.0,4311.0,85.0,4.0,18.0,230.0,0,3,15.0,33,23,502,386,11,2,140,2,1,692,444,1077,467,13,666,349,8,467,123,1,1160,0,97,19,356
1,3,0,4.0,13.0,224.0,28.0,3.0,35.0,27.0,1,1,13.0,0,146,802,92,1,0,1012,2,1,10,822,103,160,8,490,657,8,236,123,1,222,1,521,19,356
1,47,277,33.079354838709676,3.0,7318.0,24.0,6.0,3.0,98.0,5,1,3.0,43,155,256,50,11,6,549,2,1,194,498,730,762,2,144,225,8,420,123,1,477,1,434,19,356
0,47,-1,33.079354838709676,8.062697910069664,4956.0,146.92563081009297,0.0,37.0,97.0,5,0,11.784673844205193,56,74,1070,819,1,6,791,2,1,194,484,1078,493,9,398,621,5,387,123,1,1,3,162,19,356
0,1,0,1.0,8.062697910069664,1427.0,3.0,16.0,11.0,50.0,0,2,11.784673844205193,0,32,516,167,11,3,306,2,1,48,707,1193,412,2,126,70,4,373,123,1,489,0,106,19,356
0,4,0,55.0,8.0,859.0,13.0,4.0,12.0,13.0,1,1,8.0,0,228,400,394,1,4,938,2,1,194,907,515,496,14,106,191,5,43,22,2,91,0,429,27,370
1,1,259,1.0,1.0,5.0,1.0,6.0,1.0,1.0,1,3,1.0,0,241,893,1016,1,4,1026,2,1,478,613,892,753,13,681,853,8,8,123,1,45,0,589,19,356
1,0,127,1.0,3.0,1683.0,19.0,26.0,17.0,475.0,0,9,3.0,0,131,104,355,11,5,127,2,1,730,432,574,351,2,149,334,6,392,193,2,255,10,174,1,149
0,47,1,33.079354838709676,8.062697910069664,23255.0,146.92563081009297,0.0,1.0,73.0,5,0,11.784673844205193,37,215,907,872,1,3,473,5,1,194,633,1084,175,13,536,77,5,89,123,1,584,0,531,19,356
0,6,-1,33.079354838709676,8.062697910069664,915.0,40.0,26.0,33.0,72.0,1,3,11.784673844205193,48,77,757,216,1,5,194,2,1,868,430,2,103,13,720,366,8,388,22,2,565,7,453,0,142
0,0,0,3.0,12.0,7308.0,97.0,2.0,21.0,90.0,0,1,12.0,33,155,597,321,11,3,951,2,1,766,201,830,345,3,415,895,8,97,123,1,459,0,434,19,356
0,8,0,15.0,20.0,115.0,24.0,8.0,23.0,24.0,2,2,20.0,26,201,635,233,1,4,664,2,1,319,653,476,461,3,433,417,6,42,22,3,38,0,445,1,20
0,47,38,2.0,4.0,3119.0,149.0,64.0,48.0,139.0,5,6,4.0,0,32,1070,819,11,5,306,5,1,390,707,1078,412,2,15,621,6,180,123,1,1,0,162,19,356
1,45,319,33.079354838709676,4.0,5.0,4.0,89.0,40.0,88.0,3,4,4.0,0,10,277,1029,1,5,1099,2,1,447,308,111,174,13,620,340,6,386,123,1,101,0,636,19,356
0,47,1,18.0,5.0,1683.0,80.0,38.0,5.0,95.0,5,5,5.0,0,12,882,555,1,4,206,2,1,673,590,1052,764,3,714,912,4,208,163,2,471,0,66,27,405
0,47,27,33.079354838709676,8.062697910069664,112878.0,2106.0,0.0,2.0,95.0,5,0,11.784673844205193,26,51,250,270,1,3,373,17,0,194,306,837,398,2,637,78,7,495,123,1,413,1,490,19,356
0,0,-1,33.079354838709676,8.062697910069664,4894.0,20.0,1.0,7.0,20.0,0,1,11.784673844205193,0,74,1070,819,9,3,587,2,1,240,678,1078,264,9,398,621,0,387,123,1,1,1,162,19,356
0,0,32,33.079354838709676,1.0,9375.0,146.92563081009297,0.0,37.0,18.0,0,0,1.0,0,215,892,872,1,3,726,17,1,194,485,780,818,13,536,641,4,89,123,1,1002,0,531,19,356
0,47,6,6.0,15.0,20213.0,507.0,7.0,42.0,360.0,5,2,40.0,0,19,1070,819,11,3,1068,34,1,194,586,1078,110,3,461,621,8,417,123,1,1,0,162,19,356
0,30,17,2.0,11.0,290.0,23.0,31.0,23.0,65.0,2,2,11.0,0,77,21,352,1,5,60,2,1,890,269,431,420,2,310,844,8,388,196,2,265,2,366,0,523
0,1,2382,13.0,4.0,40.0,4.0,69.0,3.0,609.0,1,11,4.0,0,51,773,753,1,6,2,5,1,339,607,172,99,13,794,10,8,370,123,1,906,10,302,19,356
0,0,190,33.079354838709676,8.062697910069664,1624.0,6.0,29.0,6.0,74.0,0,9,11.784673844205193,33,196,57,482,1,4,593,2,1,125,93,736,181,13,740,465,8,183,123,1,186,0,257,19,356
0,0,19,8.0,9.0,1506.0,31.0,3.0,7.0,34.0,0,1,9.0,0,131,95,726,6,3,863,34,1,194,526,1025,179,13,527,499,6,392,178,2,618,7,726,1,325
1,1,30,33.079354838709676,3.0,116.0,31.0,1.0,3.0,3.0,1,1,3.0,26,51,89,102,1,5,123,2,1,194,427,1159,666,2,167,605,7,66,123,1,268,1,466,19,356
0,47,6,2.0,3.0,2779.0,146.92563081009297,0.0,3.0,13.0,5,0,3.0,76,70,906,837,7,4,469,2,1,194,744,236,469,3,617,843,6,499,22,0,175,3,162,30,146
0,0,2,22.0,3.0,4687.0,242.0,6.0,6.0,183.0,0,1,3.0,0,37,991,791,1,0,134,11,1,371,486,941,140,13,515,795,6,285,34,3,1040,1,684,27,357
0,47,55,16.0,7.0,1696.0,72.0,2.0,7.0,95.0,5,2,7.0,27,132,5,75,1,3,805,17,1,898,634,1186,457,3,179,737,8,190,98,2,793,2,717,29,374
0,6,0,28.0,0.0,31.0,0.0,6.0,0.0,0.0,1,1,0.0,43,37,994,106,1,3,892,27,1,843,878,308,389,2,48,668,8,285,83,0,1156,10,66,27,363
0,0,19,9.0,3.0,14414.0,1353.0,3.0,1.0,362.0,0,1,3.0,56,12,407,344,1,3,136,9,1,371,252,522,723,2,185,285,6,188,22,2,292,1,174,20,149
0,47,18,12.0,8.0,8965.0,44.0,2.0,12.0,57.0,5,2,8.0,0,213,504,820,18,4,694,2,1,669,170,1198,16,13,642,54,0,33,74,3,741,0,94,14,91
0,47,1,2.0,0.0,177674.0,146.92563081009297,0.0,3.0,2.0,5,0,1.0,40,31,572,337,1,3,591,21,0,214,149,459,397,2,38,47,8,521,22,3,870,1,505,0,391
0,47,0,20.0,0.0,4412.0,855.0,0.0,4.0,522.0,5,0,5.0,0,91,453,635,1,3,427,2,1,599,405,695,17,2,53,18,7,404,84,3,412,10,100,17,418
0,47,56,2.0,8.062697910069664,14678.315844700945,146.92563081009297,0.0,0.0,1.0,5,0,11.784673844205193,26,125,20,819,1,5,813,17,0,194,576,679,12,13,79,244,2,0,123,1,1094,8,162,19,356
0,47,76,5.0,8.062697910069664,46200.0,146.92563081009297,13.710388247639035,7.0,126.76285414480587,5,30,11.784673844205193,33,37,618,934,1,3,947,2,0,840,324,1183,658,2,48,665,4,285,22,0,105,10,316,28,31
0,34,8,42.0,32.0,27.0,33.0,39.0,24.0,32.0,1,1,32.0,0,113,701,656,11,3,1160,3,1,194,812,124,687,3,691,309,8,458,22,0,1122,0,321,28,98
1,47,0,55.0,5.0,14477.0,146.92563081009297,0.0,5.0,1.0,5,0,5.0,0,12,235,832,1,3,785,2,0,598,579,677,21,8,469,528,8,188,64,0,934,1,174,27,456
0,1,1,5.0,8.0,7.0,8.0,1.0,8.0,8.0,1,1,8.0,0,144,839,677,1,0,339,18,1,897,231,764,380,2,593,743,7,164,123,1,784,1,479,19,356
1,47,1,7.0,3.0,10087.0,67.0,6.0,3.0,57.0,5,3,3.0,0,213,1272,458,1,0,198,20,1,793,207,673,47,2,90,405,8,33,150,0,660,1,66,27,406
0,7,1,40.0,8.062697910069664,1418.0,23.0,147.0,0.0,7.0,0,4,11.784673844205193,33,126,954,555,1,3,114,29,1,194,122,231,83,13,539,1001,8,2,22,0,668,0,66,27,410
0,47,0,10.0,2.0,3545.0,146.92563081009297,0.0,2.0,3.0,5,0,2.0,56,228,427,246,1,0,248,17,1,194,761,550,243,2,591,981,5,43,22,3,125,0,157,27,47
0,5,51,33.079354838709676,5.0,457.0,5.0,5.0,7.0,11.0,1,1,5.0,52,160,1160,87,1,3,490,2,1,76,658,1008,102,2,450,1043,4,343,19,2,221,10,196,28,448
0,0,0,15.0,2.0,20112.0,305.0,1.0,43.0,228.0,0,1,30.0,0,13,20,819,1,3,1156,2,1,367,517,679,423,2,246,244,7,139,123,1,1094,5,162,19,356
0,0,1,4.0,3.0,1689.0,184.0,12.0,46.0,53.0,0,1,3.0,43,31,1109,301,7,6,163,17,1,550,491,1062,183,13,206,454,8,124,22,2,844,0,561,0,152
0,4,0,89.0,4.0,486.0,5.0,4.0,7.0,4.0,1,1,4.0,0,131,191,1014,9,3,327,15,1,37,159,102,544,3,603,146,7,392,78,2,20,7,593,27,433
1,47,39,2.0,1.0,3343.0,1.0,17.0,2.0,1.0,5,1,1.0,0,93,125,31,6,6,98,17,1,287,542,958,779,13,751,1158,8,65,123,1,469,1,152,19,356
0,47,2,1.0,2.0,8036.0,164.0,18.0,13.0,367.0,5,2,2.0,33,37,449,85,7,0,345,27,1,333,83,660,85,13,515,1129,4,285,120,0,579,0,532,28,401
0,47,-1,33.079354838709676,8.062697910069664,71140.0,142.0,0.0,7.0,63.0,5,0,11.784673844205193,43,74,1070,819,1,5,438,2,0,723,2,1078,668,9,398,621,0,387,123,1,1,1,162,19,356
1,47,0,11.0,3.0,16184.0,125.0,2.0,3.0,103.0,5,2,3.0,0,238,580,272,1,4,681,2,1,264,884,441,246,13,748,925,0,364,22,0,478,0,193,28,243
0,47,140,2.0,2.0,14678.315844700945,146.92563081009297,0.0,2.0,2.0,5,0,2.0,27,51,839,677,1,3,633,19,0,194,872,764,345,2,630,743,2,214,123,1,784,0,479,19,356
0,2,0,33.079354838709676,7.0,443.0,37.0,7.0,34.0,282.0,1,4,7.0,17,51,362,590,9,5,199,2,1,51,842,907,50,13,281,184,6,366,123,1,199,0,415,19,356
1,2,1,60.0,75.0,61.0,121.0,52.0,39.0,248.0,1,8,77.0,0,149,884,1037,11,3,306,2,1,390,707,202,412,3,575,198,6,72,191,2,691,7,174,18,149
0,1,34,2.0,42.0,328.0,44.0,15.0,49.0,58.0,1,9,42.0,0,42,865,673,1,4,150,17,1,839,274,184,330,13,184,632,8,484,123,1,513,0,436,19,356
0,47,0,33.079354838709676,8.062697910069664,14919.0,146.92563081009297,0.0,0.0,0.0,5,0,11.784673844205193,0,74,1070,819,7,6,848,19,1,194,162,1078,207,9,398,621,1,387,123,1,1,1,162,19,356
0,47,1,33.079354838709676,1.0,20216.0,66.0,1.0,1.0,1.0,5,1,1.0,33,174,1013,1015,11,5,446,2,1,519,864,757,633,9,73,1033,7,341,123,1,294,3,547,19,356
0,13,13,80.0,32.0,378.0,115.0,15.0,37.0,57.0,1,2,48.0,26,77,928,826,1,3,391,2,1,858,620,667,325,9,286,67,8,326,36,0,424,0,475,0,485
0,47,0,91.0,4.0,293.0,220.0,35.0,4.0,66.0,5,5,4.0,0,91,100,343,11,3,692,11,1,851,320,818,429,3,670,276,3,404,22,2,1108,2,110,17,143
0,47,-1,33.079354838709676,8.062697910069664,5654.0,146.92563081009297,0.0,4.0,15.0,5,0,11.784673844205193,0,12,1121,799,9,5,361,5,1,388,876,806,697,2,185,947,4,188,39,2,636,0,296,18,522
0,0,53,33.079354838709676,10.0,6550.0,98.0,34.0,11.0,349.0,0,9,10.0,0,31,734,243,1,2,200,2,1,194,214,1113,459,2,38,296,8,521,22,3,5,0,102,0,123
1,6,-1,10.0,6.0,0.0,0.0,6.0,9.0,9.0,1,1,0.0,0,12,980,201,1,3,191,17,1,783,579,72,21,2,185,738,8,188,18,2,925,1,174,27,149
1,47,0,1.0,3.0,2901.0,146.92563081009297,0.0,3.0,9.0,5,0,3.0,0,115,934,838,1,4,158,5,1,356,20,22,583,2,560,1005,1,3,123,1,29,0,260,19,356
0,1,23,1.0,14.0,56.0,15.0,10.0,35.0,161.0,1,2,15.0,56,51,839,677,1,4,857,2,1,305,456,764,475,2,606,743,8,520,123,1,784,0,479,19,356
0,47,1,75.0,22.0,5912.0,181.0,2.0,22.0,68.0,5,1,22.0,27,12,882,555,11,4,614,17,1,360,531,1052,44,9,684,912,0,208,163,0,471,0,66,27,405
1,47,127,2.0,23.0,15837.0,23.0,4.0,24.0,23.0,5,1,23.0,33,209,1123,626,1,6,1070,2,1,697,229,199,342,2,89,702,8,432,21,0,74,10,545,0,310
0,47,-1,33.079354838709676,8.062697910069664,23204.0,146.92563081009297,0.0,32.0,38.0,5,0,11.784673844205193,33,74,1070,819,1,6,300,2,1,187,641,1078,128,3,574,621,6,50,123,1,1,2,162,19,356
0,47,-1,33.079354838709676,8.062697910069664,681386.0,146.92563081009297,13.710388247639035,11.0,126.76285414480587,5,30,11.784673844205193,0,74,1070,819,9,3,110,2,0,403,660,1078,354,9,398,621,8,387,123,1,1,1,162,19,356
0,47,1,64.0,11.0,1494.0,86.0,15.0,13.0,231.0,5,4,11.0,0,134,1234,1027,1,3,172,2,1,527,553,369,374,2,749,968,8,425,22,0,226,0,304,20,188
0,47,1,1.0,8.062697910069664,2903.0,2.0,3.0,0.0,2.0,5,1,11.784673844205193,0,126,882,555,9,5,722,2,1,194,181,1052,431,3,47,912,0,2,22,0,471,1,66,27,329
0,47,105,1.0,1.0,171519.0,146.92563081009297,0.0,1.0,13.0,5,0,1.0,0,51,116,539,11,3,727,17,0,146,782,531,242,3,210,871,0,495,123,1,472,2,604,19,356
0,47,35,90.0,2.0,41230.0,352.0,0.0,5.0,44.0,5,0,5.0,0,199,418,852,1,3,556,5,1,86,462,350,60,13,279,727,8,405,52,3,370,10,174,28,149
0,47,0,78.0,1.0,15835.0,220.0,1.0,1.0,1.0,5,1,1.0,0,12,896,846,1,6,756,2,1,273,748,546,212,2,185,812,7,188,42,3,826,1,66,27,484
0,47,1715,33.079354838709676,1.0,7545.0,19.0,15.0,1.0,87.0,5,7,1.0,26,153,641,956,1,3,1032,5,1,897,77,292,416,4,194,769,4,207,123,1,330,1,395,19,356
0,0,48,3.0,2.0,14482.0,377.0,8.0,2.0,283.0,0,2,2.0,0,12,930,792,9,4,331,2,1,69,721,328,626,13,273,1013,8,188,22,3,18,0,483,27,537
1,47,-1,33.079354838709676,8.062697910069664,5760.0,42.0,218.0,0.0,287.0,5,15,11.784673844205193,26,62,839,677,1,3,167,2,1,798,663,764,122,3,70,743,6,283,123,1,784,2,479,19,356
0,47,1759,5.0,0.0,28244.0,20.0,2.0,6.0,10.0,5,0,7.0,75,126,735,555,1,4,246,2,1,194,313,530,773,9,451,1001,0,2,22,0,614,0,66,27,329
1,0,61,33.079354838709676,12.0,4243.0,189.0,5.0,7.0,141.0,0,2,19.0,33,206,155,863,1,6,40,2,1,883,600,732,751,2,198,1000,8,246,22,0,309,10,597,28,90
1,0,30,2.0,25.0,2204.0,182.0,62.0,33.0,1127.0,0,6,25.0,0,39,17,782,11,3,988,2,1,449,234,161,353,2,203,972,4,210,22,0,875,2,196,3,392
0,47,0,6.0,1.0,5876.0,82.0,2.0,1.0,54.0,5,1,1.0,26,150,1129,433,1,3,934,2,1,194,778,76,386,8,406,604,3,232,87,2,1086,1,210,3,260
0,0,22,3.0,14.0,2966.0,290.0,62.0,19.0,254.0,0,2,55.0,0,173,202,263,1,3,0,2,1,422,68,1097,74,2,419,177,8,273,123,1,581,2,359,19,356
0,0,22,12.0,14.0,15308.0,497.0,1.0,44.0,258.0,0,1,16.0,33,42,2,418,28,5,803,34,1,194,321,1058,480,13,184,892,7,484,123,1,731,0,436,19,356
1,2,-1,0.0,0.0,18.0,0.0,2.0,0.0,0.0,1,1,0.0,0,247,634,173,1,4,982,19,1,194,416,45,787,13,376,798,0,144,70,3,550,0,409,27,512
0,47,5,30.0,4.0,14678.315844700945,146.92563081009297,0.0,5.0,4.0,5,0,5.0,33,31,613,651,1,3,974,17,0,194,408,1218,227,13,118,915,2,83,22,0,755,8,131,0,298
0,6,1,33.079354838709676,3.0,46.0,10.0,17.0,38.0,132.0,1,4,3.0,26,97,750,436,9,6,1155,2,1,590,372,924,364,2,718,362,8,445,123,1,598,0,326,19,356
0,2,0,3.0,13.0,5.0,40.0,8.0,14.0,41.0,1,2,13.0,0,174,959,1015,11,3,29,2,1,171,669,94,239,13,658,1033,0,480,123,1,890,0,547,19,356
0,47,14,33.079354838709676,0.0,31324.0,146.92563081009297,13.710388247639035,17.0,126.76285414480587,5,30,16.0,0,191,1070,819,1,3,435,2,1,233,121,1078,551,2,702,621,8,289,123,1,1,2,162,19,356
0,0,2,5.0,8.062697910069664,2982.0,88.0,9.0,0.0,50.0,0,1,11.784673844205193,26,52,1029,419,1,4,1155,2,1,74,372,122,364,2,731,861,8,533,22,3,1115,0,655,0,436
0,2,207,33.079354838709676,3.0,66.0,4.0,5.0,43.0,49.0,1,3,4.0,0,241,1271,175,11,6,1064,2,1,194,795,996,273,13,395,24,0,8,123,1,904,0,589,19,356
1,47,7,16.0,28.0,19049.0,2130.0,5.0,33.0,706.0,5,3,33.0,26,10,766,1002,1,3,60,15,1,698,269,843,420,2,218,866,8,222,123,1,19,2,573,19,356
1,0,17,33.079354838709676,8.062697910069664,10363.0,2794.0,2.0,0.0,41.0,0,1,11.784673844205193,52,51,862,143,7,3,71,2,1,194,401,624,526,13,95,64,0,380,123,1,61,0,320,19,356
0,0,6,73.0,1.0,10301.0,193.0,1.0,25.0,59.0,0,1,15.0,0,230,1256,87,1,3,79,2,1,613,711,373,263,2,774,772,7,465,19,3,190,2,196,7,448
1,47,-1,33.079354838709676,8.062697910069664,446.0,30.0,2.0,27.0,28.0,5,1,11.784673844205193,0,52,1029,419,1,2,1155,2,1,74,372,122,364,2,731,861,0,533,22,3,1115,0,655,0,436
0,47,1,5.0,8.062697910069664,32339.0,146.92563081009297,13.710388247639035,4.0,126.76285414480587,5,30,11.784673844205193,0,51,209,462,7,3,441,2,1,503,836,192,516,2,767,246,0,383,123,1,994,1,674,19,356
0,1,3,2.0,8.062697910069664,521.0,7.0,4.0,7.0,7.0,1,2,11.784673844205193,26,91,82,145,11,3,1143,2,1,608,766,569,414,0,697,384,8,404,66,2,1193,10,582,17,214
0,0,16,44.0,21.0,1844.0,77.0,5.0,21.0,70.0,0,1,21.0,26,77,510,980,11,3,536,17,1,641,481,336,303,2,723,601,8,263,134,3,95,1,719,0,69
1,1,0,31.0,9.0,226.0,22.0,32.0,13.0,177.0,1,7,11.0,26,149,9,88,1,2,306,23,1,390,707,467,412,3,575,765,4,72,160,2,4,0,526,27,271
0,0,37,23.0,9.0,1635.0,84.0,2.0,17.0,109.0,0,2,50.0,0,156,253,629,9,5,1053,17,1,196,490,272,684,9,456,151,0,257,198,2,56,0,81,0,382
0,0,156,14.0,0.0,0.0,408.0,11.0,10.0,1288.0,0,6,0.0,6,64,492,604,1,5,674,2,1,319,91,577,808,13,566,398,8,163,22,0,318,0,247,29,323
0,0,-1,33.079354838709676,8.062697910069664,2282.0,41.0,30.0,15.0,157.0,0,3,11.784673844205193,0,77,291,116,1,6,3,17,1,194,395,585,94,13,443,561,6,263,55,2,754,7,522,0,361
0,47,68,33.079354838709676,8.062697910069664,14678.315844700945,146.92563081009297,13.710388247639035,0.0,126.76285414480587,5,30,11.784673844205193,75,52,839,677,9,3,698,17,0,194,194,764,397,2,772,743,2,181,22,0,784,3,479,0,174
0,47,11,35.0,10.0,1998.0,246.0,32.0,27.0,418.0,5,2,11.0,0,245,1221,354,1,5,573,2,1,454,14,245,748,2,271,1015,3,485,22,3,1129,10,502,0,451
0,47,0,33.079354838709676,8.062697910069664,3129.0,28.0,8.0,0.0,67.0,5,5,11.784673844205193,33,150,1019,770,9,3,931,2,1,588,434,274,410,2,261,317,8,251,105,3,380,0,446,3,409
0,0,2903,1.0,0.0,1912.0,83.0,5.0,34.0,190.0,0,4,1.0,40,74,1070,819,1,3,695,2,1,388,876,1078,697,8,1,621,8,184,123,1,1,0,162,19,356
1,5,-1,33.079354838709676,8.062697910069664,1388.0,0.0,11.0,1.0,7.0,0,3,11.784673844205193,56,77,500,137,1,2,744,2,1,837,389,50,636,13,443,1077,8,263,87,2,1140,0,171,0,481
0,3,2,1.0,0.0,95.0,0.0,74.0,20.0,118.0,2,17,0.0,35,51,1146,539,9,3,147,2,1,887,419,544,282,2,5,442,8,495,123,1,69,0,604,19,356
0,2,0,9.0,5.0,44.0,5.0,2.0,4.0,5.0,2,2,5.0,26,60,1161,38,7,3,484,17,1,743,263,1146,693,2,746,287,0,478,22,3,231,0,419,7,93
0,47,2537,1.0,8.062697910069664,6033.0,10.0,21.0,0.0,10.0,5,2,11.784673844205193,0,149,836,269,1,3,349,2,1,48,707,512,412,13,568,932,1,72,64,2,742,0,178,0,77
0,47,-1,4.0,8.062697910069664,11492.0,146.92563081009297,0.0,0.0,0.0,5,0,11.784673844205193,33,120,341,847,1,4,876,2,1,194,62,1165,171,13,101,7,1,490,22,2,496,0,704,27,212
0,47,1,5.0,5.0,349.0,146.92563081009297,0.0,5.0,5.0,5,0,5.0,0,3,767,165,11,5,366,2,1,194,125,640,4,3,455,633,5,344,123,1,551,8,378,19,356
0,47,0,17.0,3.0,19811.0,146.92563081009297,0.0,3.0,54.0,5,0,3.0,0,238,580,272,1,5,718,2,1,568,513,441,565,13,748,925,1,364,22,0,478,0,193,28,243
0,47,1261,10.0,4.0,14678.315844700945,146.92563081009297,0.0,5.0,10.0,5,0,5.0,0,51,167,270,26,3,1059,2,0,194,903,1210,566,13,394,404,2,495,123,1,1025,8,490,19,356
0,47,-1,5.0,8.062697910069664,34807.0,82.0,0.0,0.0,60.0,5,0,11.784673844205193,75,37,976,57,11,2,900,17,1,630,915,110,816,2,48,113,8,285,180,2,381,0,71,24,107
0,0,0,113.0,13.0,1853.0,64.0,1.0,45.0,52.0,0,1,13.0,33,126,1174,555,1,3,136,2,1,371,415,381,723,3,47,789,7,2,22,0,637,1,66,27,329
